S
$0.408\cdot e^{-2.512i}$

$0.497\cdot e^{-0.003i}$

$0.491\cdot e^{-0.036i}$

$0.414\cdot e^{-2.535i}$

$0.483\cdot e^{0.133i}$

$0.408\cdot e^{-2.647i}$
